epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,10648,1.46496,0.62316,0.76568,0.90847,1,0.995,0.66022,1.51935,0.73872,1.23959,0.000148687,0.000148687,0.000148687
183,10707,1.36682,0.61904,0.71973,0.90847,1,0.995,0.66022,1.51935,0.73872,1.23959,0.000141614,0.000141614,0.000141614
184,10768.6,1.34743,0.64104,0.77828,0.91182,1,0.995,0.67427,1.50957,0.72896,1.23774,0.00013454,0.00013454,0.00013454
185,10827.5,1.43527,0.67362,0.75269,0.91182,1,0.995,0.67427,1.50957,0.72896,1.23774,0.000127467,0.000127467,0.000127467
186,10886.1,1.5739,0.63436,0.69509,0.91182,1,0.995,0.67427,1.50957,0.72896,1.23774,0.000120393,0.000120393,0.000120393
187,10946,1.58853,0.62577,0.68786,0.92653,1,0.995,0.65924,1.50795,0.74711,1.22605,0.00011332,0.00011332,0.00011332
188,11007.5,1.46395,0.63088,0.70966,0.92653,1,0.995,0.65924,1.50795,0.74711,1.22605,0.000106246,0.000106246,0.000106246
189,11066.1,1.45104,0.69563,0.80312,0.92653,1,0.995,0.65924,1.50795,0.74711,1.22605,9.91726e-05,9.91726e-05,9.91726e-05
190,11126,1.43387,0.64554,0.73595,0.93129,1,0.995,0.67261,1.50173,0.74591,1.2299,9.20991e-05,9.20991e-05,9.20991e-05
191,11184.7,1.39099,0.59837,0.78261,0.93129,1,0.995,0.67261,1.50173,0.74591,1.2299,8.50255e-05,8.50255e-05,8.50255e-05
192,11243.8,1.54594,0.65975,0.6646,0.93129,1,0.995,0.67261,1.50173,0.74591,1.2299,7.7952e-05,7.7952e-05,7.7952e-05
193,11303.4,1.31444,0.61375,0.78192,0.93129,1,0.995,0.67261,1.50173,0.74591,1.2299,7.08784e-05,7.08784e-05,7.08784e-05
194,11362.7,1.41826,0.66574,0.76874,0.93602,0.99968,0.995,0.67273,1.49222,0.74046,1.21994,6.38049e-05,6.38049e-05,6.38049e-05
195,11423,1.53809,0.63708,0.70191,0.93602,0.99968,0.995,0.67273,1.49222,0.74046,1.21994,5.67313e-05,5.67313e-05,5.67313e-05
196,11481.8,1.46848,0.63487,0.75937,0.93602,0.99968,0.995,0.67273,1.49222,0.74046,1.21994,4.96578e-05,4.96578e-05,4.96578e-05
197,11542,1.53458,0.65321,0.67561,0.94214,1,0.995,0.67778,1.47816,0.7315,1.22275,4.25842e-05,4.25842e-05,4.25842e-05
198,11601.1,1.45807,0.62138,0.71743,0.94214,1,0.995,0.67778,1.47816,0.7315,1.22275,3.55107e-05,3.55107e-05,3.55107e-05
199,11662.7,1.38556,0.62962,0.72998,0.94214,1,0.995,0.67778,1.47816,0.7315,1.22275,2.84371e-05,2.84371e-05,2.84371e-05
200,11721.5,1.39649,0.6095,0.73946,0.94618,1,0.995,0.68117,1.47691,0.72298,1.21299,2.13636e-05,2.13636e-05,2.13636e-05
