epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2485.2,2.40167,1.48041,1.31695,0.64638,0.44444,0.62947,0.24082,3.05279,1.76113,1.36689,0.00113898,0.00113898,0.00113898
43,2542.99,2.43071,1.54268,1.29135,0.2573,0.66667,0.48072,0.24283,2.53824,1.53154,1.25147,0.00113191,0.00113191,0.00113191
44,2600.97,2.1508,1.39301,1.22494,0.2573,0.66667,0.48072,0.24283,2.53824,1.53154,1.25147,0.00112484,0.00112484,0.00112484
45,2658.17,2.09776,1.40045,1.31036,0.2573,0.66667,0.48072,0.24283,2.53824,1.53154,1.25147,0.00111776,0.00111776,0.00111776
46,2716.41,2.23287,1.38699,1.18601,0.68702,0.59471,0.57557,0.22455,2.53106,1.63277,1.09112,0.00111069,0.00111069,0.00111069
47,2773.81,2.0854,1.19784,1.29045,0.68702,0.59471,0.57557,0.22455,2.53106,1.63277,1.09112,0.00110362,0.00110362,0.00110362
48,2831.05,2.17022,1.25986,1.34645,0.68702,0.59471,0.57557,0.22455,2.53106,1.63277,1.09112,0.00109654,0.00109654,0.00109654
49,2888.75,2.01208,1.28204,1.32168,0.68702,0.59471,0.57557,0.22455,2.53106,1.63277,1.09112,0.00108947,0.00108947,0.00108947
50,2946.04,2.08508,1.2351,1.06937,0.73751,0.55556,0.6345,0.25662,2.47576,1.82526,1.19505,0.0010824,0.0010824,0.0010824
51,3003.71,2.07329,1.23012,1.14132,0.73751,0.55556,0.6345,0.25662,2.47576,1.82526,1.19505,0.00107532,0.00107532,0.00107532
52,3061.07,2.09864,1.23874,1.10297,0.73751,0.55556,0.6345,0.25662,2.47576,1.82526,1.19505,0.00106825,0.00106825,0.00106825
53,3118.93,1.95979,1.13678,1.20219,0.7665,0.54068,0.67529,0.29395,2.08551,1.90925,1.13131,0.00106118,0.00106118,0.00106118
54,3177.51,2.00279,1.10141,1.14442,0.7665,0.54068,0.67529,0.29395,2.08551,1.90925,1.13131,0.0010541,0.0010541,0.0010541
55,3235.74,1.92561,1.09872,1.16177,0.7665,0.54068,0.67529,0.29395,2.08551,1.90925,1.13131,0.00104703,0.00104703,0.00104703
56,3293.54,2.04516,1.16359,1.12288,0.86335,0.55556,0.62942,0.30221,2.08002,1.95461,1.12577,0.00103995,0.00103995,0.00103995
57,3350.63,2.01156,1.16596,1.0281,0.86335,0.55556,0.62942,0.30221,2.08002,1.95461,1.12577,0.00103288,0.00103288,0.00103288
58,3408.26,1.91414,1.14654,1.05619,0.86335,0.55556,0.62942,0.30221,2.08002,1.95461,1.12577,0.00102581,0.00102581,0.00102581
59,3465.87,1.98271,1.19366,1.12011,0.54924,0.88889,0.75233,0.37626,1.95837,2.85208,1.14398,0.00101873,0.00101873,0.00101873
60,3523.15,1.8643,1.4355,1.03328,0.54924,0.88889,0.75233,0.37626,1.95837,2.85208,1.14398,0.00101166,0.00101166,0.00101166
61,3580.58,1.90341,1.34452,1.0714,0.54924,0.88889,0.75233,0.37626,1.95837,2.85208,1.14398,0.00100459,0.00100459,0.00100459
62,3638.16,2.05989,1.54795,0.99735,0.44779,0.88889,0.87583,0.46867,1.72907,2.04931,1.22921,0.000997513,0.000997513,0.000997513
63,3695.45,1.88913,1.06008,0.97814,0.44779,0.88889,0.87583,0.46867,1.72907,2.04931,1.22921,0.00099044,0.00099044,0.00099044
64,3755.33,1.85683,1.0838,1.0339,0.44779,0.88889,0.87583,0.46867,1.72907,2.04931,1.22921,0.000983366,0.000983366,0.000983366
65,3817.01,1.838,1.02588,0.96225,0.44779,0.88889,0.87583,0.46867,1.72907,2.04931,1.22921,0.000976293,0.000976293,0.000976293
66,3876.25,1.88863,1.05304,1.02127,0.38362,1,0.73271,0.47498,1.40339,1.60716,1.15969,0.000969219,0.000969219,0.000969219
67,3935.09,1.91742,1.05133,1.05834,0.38362,1,0.73271,0.47498,1.40339,1.60716,1.15969,0.000962146,0.000962146,0.000962146
68,3993.52,1.80934,1.08029,1.12645,0.38362,1,0.73271,0.47498,1.40339,1.60716,1.15969,0.000955072,0.000955072,0.000955072
69,4052.5,1.84252,1.03766,0.97857,0.40028,0.98466,0.71875,0.42263,1.81478,1.42774,1.19642,0.000947999,0.000947999,0.000947999
70,4110.94,1.91323,1.09783,0.97786,0.40028,0.98466,0.71875,0.42263,1.81478,1.42774,1.19642,0.000940925,0.000940925,0.000940925
71,4168.41,1.84919,1.08361,1.08459,0.40028,0.98466,0.71875,0.42263,1.81478,1.42774,1.19642,0.000933851,0.000933851,0.000933851
72,4226.27,1.74645,1.06704,1.01553,0.38683,1,0.70217,0.40631,1.88957,1.39988,1.16331,0.000926778,0.000926778,0.000926778
73,4283.62,1.74897,1.03874,1.03498,0.38683,1,0.70217,0.40631,1.88957,1.39988,1.16331,0.000919704,0.000919704,0.000919704
74,4341.38,1.80894,1.02067,0.97437,0.38683,1,0.70217,0.40631,1.88957,1.39988,1.16331,0.000912631,0.000912631,0.000912631
75,4399.37,1.88688,1.05674,0.94311,0.54172,1,0.94,0.52621,1.68856,1.23917,1.14069,0.000905557,0.000905557,0.000905557
76,4458.05,1.72696,1.01504,1.01875,0.54172,1,0.94,0.52621,1.68856,1.23917,1.14069,0.000898484,0.000898484,0.000898484
77,4515.56,1.59288,1.00616,1.08805,0.54172,1,0.94,0.52621,1.68856,1.23917,1.14069,0.00089141,0.00089141,0.00089141
78,4573.08,1.77912,0.97818,1.01256,0.68419,1,0.995,0.65102,1.52907,1.20467,1.24085,0.000884337,0.000884337,0.000884337
79,4630.25,1.81711,0.94988,1.0204,0.68419,1,0.995,0.65102,1.52907,1.20467,1.24085,0.000877263,0.000877263,0.000877263
80,4688.37,1.84558,1.05407,1.01157,0.68419,1,0.995,0.65102,1.52907,1.20467,1.24085,0.00087019,0.00087019,0.00087019
81,4746,1.71536,1.01159,0.97759,0.68419,1,0.995,0.65102,1.52907,1.20467,1.24085,0.000863116,0.000863116,0.000863116
82,4803.74,1.64995,0.97284,1.00006,0.73501,1,0.995,0.60868,1.55789,1.30099,1.18824,0.000856042,0.000856042,0.000856042
83,4862.08,1.76988,0.90591,0.87604,0.73501,1,0.995,0.60868,1.55789,1.30099,1.18824,0.000848969,0.000848969,0.000848969
84,4920.32,1.68166,0.89202,0.95694,0.73501,1,0.995,0.60868,1.55789,1.30099,1.18824,0.000841895,0.000841895,0.000841895
85,4979.4,1.76682,0.99759,0.90701,0.75357,0.94352,0.995,0.55263,1.58745,1.23171,1.10935,0.000834822,0.000834822,0.000834822
86,5036.5,1.67054,0.94589,0.88354,0.75357,0.94352,0.995,0.55263,1.58745,1.23171,1.10935,0.000827748,0.000827748,0.000827748
87,5094.53,1.79575,0.96355,0.86954,0.75357,0.94352,0.995,0.55263,1.58745,1.23171,1.10935,0.000820675,0.000820675,0.000820675
